ref x,ref y),x,y
7.565124,0.373412,7.50386,0.535456
7.565124,0.373412,7.535953,0.546951
7.660861,0.4024,7.568003,0.558586
7.660861,0.4024,7.600016,0.570344
7.660861,0.4024,7.631982,0.58225
7.756268,0.432457,7.663911,0.594273
7.756268,0.432457,7.695793,0.606423
7.756268,0.432457,7.727636,0.618673
7.851334,0.463587,7.759442,0.631012
7.851334,0.463587,7.791202,0.643485
7.851334,0.463587,7.822918,0.656061
7.946048,0.495785,7.854599,0.668727
7.946048,0.495785,7.886233,0.681525
7.946048,0.495785,7.917827,0.694417
8.040398,0.529047,7.949386,0.707385
8.040398,0.529047,7.980908,0.72044
8.040398,0.529047,8.012383,0.733626
8.134372,0.563365,8.043807,0.746962
8.134372,0.563365,8.075191,0.760385
8.134372,0.563365,8.106536,0.77389
8.227959,0.598732,8.137827,0.787554
8.227959,0.598732,8.169074,0.80131
8.321147,0.635144,8.200272,0.815187
8.321147,0.635144,8.23143,0.829134
8.321147,0.635144,8.262544,0.84319
8.413924,0.672591,8.29361,0.85738
8.413924,0.672591,8.324624,0.871693
8.413924,0.672591,8.355598,0.886093
8.506281,0.71107,8.38653,0.900596
8.506281,0.71107,8.417385,0.915229
8.506281,0.71107,8.44819,0.929972
8.598203,0.750571,8.478932,0.944861
8.598203,0.750571,8.509595,0.959898
8.598203,0.750571,8.540233,0.974965
8.689681,0.79109,8.570826,0.990102
8.689681,0.79109,8.601357,1.005371
8.689681,0.79109,8.631821,1.020781
8.780703,0.832621,8.662253,1.036241
8.780703,0.832621,8.692613,1.05184
8.780703,0.832621,8.722923,1.067544
8.871257,0.875157,8.753161,1.08339
8.871257,0.875157,8.783349,1.099327
8.961333,0.918694,8.813466,1.115395
8.961333,0.918694,8.843545,1.13152
8.961333,0.918694,8.873552,1.147781
9.05092,0.963227,8.903501,1.164151
9.05092,0.963227,8.933377,1.180651
9.05092,0.963227,8.963215,1.1972
9.140006,1.008752,8.992999,1.213829
9.140006,1.008752,9.022724,1.230571
9.140006,1.008752,9.052371,1.247458
9.228581,1.055262,9.081976,1.264404
9.228581,1.055262,9.111519,1.281462
9.228581,1.055262,9.140989,1.298659
9.316634,1.102752,9.170392,1.315978
9.316634,1.102752,9.199736,1.333392
9.316634,1.102752,9.22902,1.3509
9.404154,1.151219,9.258247,1.368496
9.404154,1.151219,9.287409,1.386207
9.404154,1.151219,9.31651,1.404012
9.491128,1.200656,9.345553,1.421909
9.491128,1.200656,9.374531,1.439917
9.577548,1.251059,9.40345,1.458016
9.577548,1.251059,9.432296,1.476244
9.577548,1.251059,9.461069,1.494602
9.663402,1.302421,9.489783,1.513041
9.663402,1.302421,9.518433,1.531578
9.663402,1.302421,9.547007,1.550246
9.748679,1.354735,9.575506,1.569034
9.748679,1.354735,9.603939,1.587917
9.748679,1.354735,9.632302,1.606914
9.833369,1.407993,9.660603,1.625991
9.833369,1.407993,9.688833,1.645175
9.833369,1.407993,9.71701,1.664429
9.917463,1.462191,9.745126,1.683765
9.917463,1.462191,9.773166,1.70322
9.917463,1.462191,9.801145,1.722765
10.00095,1.517319,9.829046,1.74243
10.00095,1.517319,9.856862,1.762227
10.083818,1.573372,9.884627,1.78209
10.083818,1.573372,9.912307,1.802073
10.083818,1.573372,9.939917,1.822156
10.166059,1.630343,9.967461,1.842326
10.166059,1.630343,9.994919,1.862616
10.166059,1.630343,10.022329,1.882964
10.247661,1.688224,10.049654,1.90343
10.247661,1.688224,10.076888,1.924027
10.247661,1.688224,10.104048,1.944723
10.328614,1.74701,10.131156,1.965477
10.328614,1.74701,10.158158,1.986376
10.328614,1.74701,10.185111,2.007332
10.408908,1.806692,10.21197,2.028415
10.408908,1.806692,10.238739,2.04962
10.408908,1.806692,10.265427,2.070923
10.488534,1.867262,10.292061,2.092289
10.488534,1.867262,10.318586,2.113792
10.567482,1.928714,10.345058,2.135357
10.567482,1.928714,10.371434,2.157033
10.567482,1.928714,10.397759,2.178762
10.645741,1.991039,10.424004,2.200589
10.645741,1.991039,10.450158,2.222526
10.645741,1.991039,10.476246,2.24454
10.723305,2.05423,10.502247,2.266664
10.723305,2.05423,10.528147,2.28891
10.723305,2.05423,10.553986,2.311219
10.80016,2.118278,10.579742,2.333629
10.80016,2.118278,10.605398,2.356161
10.80016,2.118278,10.630961,2.378801
10.876299,2.183177,10.656445,2.401527
10.876299,2.183177,10.681847,2.424339
10.876299,2.183177,10.707172,2.447232
10.951713,2.248918,10.732407,2.470228
10.951713,2.248918,10.75756,2.493308
11.026389,2.315493,10.782635,2.51647
11.026389,2.315493,10.807618,2.539735
11.026389,2.315493,10.832522,2.56308
11.100322,2.382895,10.85733,2.586537
11.100322,2.382895,10.882034,2.610109
11.100322,2.382895,10.906666,2.633748
11.173499,2.451116,10.931209,2.657478
11.173499,2.451116,10.955651,2.68132
