ref x,ref y),x,y
7.565124,0.373412,7.540339,0.483502
7.565124,0.373412,7.572478,0.493926
7.660861,0.4024,7.604714,0.504068
7.660861,0.4024,7.63701,0.514091
7.660861,0.4024,7.669372,0.524002
7.756268,0.432457,7.701791,0.533828
7.756268,0.432457,7.734258,0.543585
7.756268,0.432457,7.766764,0.553292
7.851334,0.463587,7.799302,0.562957
7.851334,0.463587,7.831866,0.57259
7.946048,0.495785,7.86447,0.582148
7.946048,0.495785,7.897193,0.591438
7.946048,0.495785,7.930128,0.600329
8.040398,0.529047,7.963369,0.608694
8.040398,0.529047,7.997026,0.616425
8.040398,0.529047,8.031182,0.623415
8.134372,0.563365,8.065852,0.629559
8.134372,0.563365,8.100884,0.634871
8.134372,0.563365,8.136066,0.639456
8.227959,0.598732,8.17129,0.643395
8.227959,0.598732,8.206504,0.64675
8.227959,0.598732,8.241678,0.649533
8.321147,0.635144,8.27679,0.651698
8.321147,0.635144,8.311661,0.653355
8.321147,0.635144,8.346118,0.654991
8.413924,0.672591,8.380164,0.65672
8.413924,0.672591,8.413882,0.658741
8.413924,0.672591,8.447371,0.661184
8.506281,0.71107,8.480726,0.664181
8.506281,0.71107,8.514029,0.667835
8.506281,0.71107,8.54735,0.672236
8.598203,0.750571,8.580743,0.677479
8.598203,0.750571,8.614251,0.683654
8.598203,0.750571,8.647908,0.690844
8.689681,0.79109,8.68174,0.69916
8.689681,0.79109,8.715764,0.708706
8.689681,0.79109,8.749977,0.719612
8.780703,0.832621,8.784035,0.731903
8.780703,0.832621,8.817645,0.745404
8.780703,0.832621,8.850937,0.759572
8.871257,0.875157,8.883783,0.774459
8.871257,0.875157,8.916198,0.789958
8.871257,0.875157,8.948196,0.806008
8.961333,0.918694,8.979764,0.822511
8.961333,0.918694,9.01075,0.839093
8.961333,0.918694,9.041186,0.855475
9.05092,0.963227,9.071238,0.8715
9.05092,0.963227,9.10111,0.887133
9.05092,0.963227,9.130924,0.902302
9.140006,1.008752,9.160824,0.91694
9.140006,1.008752,9.190933,0.931
9.140006,1.008752,9.221363,0.944439
9.228581,1.055262,9.25215,0.957261
9.228581,1.055262,9.283174,0.96972
9.228581,1.055262,9.314372,0.982073
9.316634,1.102752,9.345705,0.994613
9.316634,1.102752,9.377154,1.007552
9.316634,1.102752,9.408717,1.02108
9.404154,1.151219,9.440399,1.035357
9.404154,1.151219,9.472222,1.050505
9.404154,1.151219,9.504092,1.066713
9.491128,1.200656,9.535758,1.084015
9.491128,1.200656,9.567094,1.102089
9.577548,1.251059,9.597948,1.120867
9.577548,1.251059,9.628237,1.140304
9.577548,1.251059,9.65791,1.160096
9.663402,1.302421,9.686995,1.179744
9.663402,1.302421,9.71556,1.199086
9.663402,1.302421,9.743815,1.218014
9.748679,1.354735,9.77198,1.236723
9.748679,1.354735,9.800232,1.255661
9.748679,1.354735,9.828525,1.275021
9.833369,1.407993,9.856757,1.294704
9.833369,1.407993,9.884879,1.314649
9.833369,1.407993,9.912862,1.33483
9.917463,1.462191,9.940694,1.355234
9.917463,1.462191,9.968368,1.375851
9.917463,1.462191,9.995882,1.396675
10.00095,1.517319,10.023234,1.417702
10.00095,1.517319,10.050426,1.438927
10.00095,1.517319,10.077456,1.460349
10.083818,1.573372,10.104325,1.481964
10.083818,1.573372,10.131033,1.503771
10.083818,1.573372,10.15758,1.525768
10.166059,1.630343,10.183965,1.547952
10.166059,1.630343,10.210196,1.570336
10.166059,1.630343,10.236327,1.593185
10.247661,1.688224,10.26229,1.61647
10.247661,1.688224,10.288004,1.640102
10.247661,1.688224,10.313442,1.664028
10.328614,1.74701,10.338031,1.687634
10.328614,1.74701,10.357895,1.707091
10.328614,1.74701,10.374713,1.72356
10.328614,1.74701,10.390145,1.738397
10.408908,1.806692,10.405718,1.752911
10.408908,1.806692,10.425549,1.770524
10.408908,1.806692,10.448544,1.789946
10.488534,1.867262,10.473336,1.809992
10.488534,1.867262,10.499155,1.830213
10.488534,1.867262,10.525612,1.850401
10.567482,1.928714,10.552484,1.870477
10.567482,1.928714,10.579624,1.890437
10.567482,1.928714,10.606963,1.910276
10.645741,1.991039,10.634447,1.930012
10.645741,1.991039,10.662042,1.94966
10.645741,1.991039,10.689724,1.969236
10.723305,2.05423,10.717474,1.988752
10.723305,2.05423,10.745277,2.008224
10.723305,2.05423,10.773123,2.027659
10.80016,2.118278,10.801002,2.047066
10.80016,2.118278,10.828908,2.066454
10.80016,2.118278,10.856806,2.08589
10.876299,2.183177,10.884619,2.105568
10.876299,2.183177,10.912319,2.125642
10.876299,2.183177,10.939832,2.146321
10.951713,2.248918,10.96712,2.167768
10.951713,2.248918,10.99414,2.190078
10.951713,2.248918,11.020811,2.213152
11.026389,2.315493,11.047072,2.236772
11.026389,2.315493,11.072909,2.260815
11.026389,2.315493,11.098341,2.285199
11.100322,2.382895,11.123371,2.309888
11.100322,2.382895,11.14796,2.334895
11.100322,2.382895,11.172084,2.360222
11.173499,2.451116,11.195818,2.385801
11.173499,2.451116,11.219297,2.411541
11.173499,2.451116,11.242469,2.437479
11.245914,2.520145,11.265361,2.463598
11.245914,2.520145,11.287988,2.48989
11.245914,2.520145,11.31036,2.516351
11.317558,2.589975,11.332489,2.542973
11.317558,2.589975,11.354379,2.569748
11.317558,2.589975,11.376045,2.596422
11.388421,2.660597,11.397579,2.62278
11.388421,2.660597,11.419138,2.648731
11.388421,2.660597,11.440885,2.674247
11.458495,2.732002,11.462969,2.699327
11.458495,2.732002,11.485525,2.723971
11.458495,2.732002,11.508666,2.748181
11.527772,2.804181,11.532495,2.77195
11.527772,2.804181,11.557109,2.795261
11.527772,2.804181,11.582583,2.818082
11.596242,2.877126,11.608868,2.840353
11.596242,2.877126,11.635751,2.862099
11.596242,2.877126,11.663089,2.883343
11.663897,2.950828,11.690755,2.904124
11.663897,2.950828,11.718426,2.924579
11.730727,3.025277,11.745928,2.944874
11.730727,3.025277,11.773173,2.965197
11.730727,3.025277,11.800121,2.985727
11.730727,3.025277,11.826758,3.00662
11.796725,3.100465,11.853074,3.028021
11.796725,3.100465,11.879056,3.050062
11.796725,3.100465,11.904689,3.072856
11.861883,3.176383,11.929956,3.096519
11.861883,3.176383,11.954822,3.121172
11.926194,3.253019,11.979244,3.146929
11.926194,3.253019,12.003097,3.173646
11.926194,3.253019,12.026255,3.200691
11.989649,3.330366,12.048792,3.227886
11.989649,3.330366,12.070801,3.255272
11.989649,3.330366,12.092359,3.282855
12.052241,3.408413,12.113517,3.31063
12.052241,3.408413,12.134311,3.338589
12.052241,3.408413,12.15477,3.366721
12.113961,3.48715,12.174918,3.395019
12.113961,3.48715,12.19477,3.423473
12.113961,3.48715,12.214343,3.452078
12.174804,3.566569,12.233649,3.480827
12.174804,3.566569,12.252697,3.509717
12.174804,3.566569,12.271496,3.538743
12.234758,3.646659,12.290052,3.567903
12.234758,3.646659,12.308372,3.597193
12.234758,3.646659,12.32646,3.626613
12.293819,3.727411,12.344319,3.656159
12.293819,3.727411,12.361952,3.685829
12.293819,3.727411,12.379361,3.715622
12.351978,3.808814,12.396547,3.745535
12.351978,3.808814,12.413549,3.775341
12.351978,3.808814,12.430485,3.804825
12.409228,3.89086,12.44751,3.833927
12.409228,3.89086,12.464794,3.862627
12.409228,3.89086,12.482483,3.890945
12.465563,3.973537,12.500469,3.919107
12.465563,3.973537,12.518601,3.947383
12.465563,3.973537,12.536729,3.975955
12.520975,4.056834,12.554872,4.004578
12.520975,4.056834,12.573121,4.033047
12.520975,4.056834,12.591608,4.061271
12.575459,4.140743,12.610473,4.089218
12.575459,4.140743,12.629852,4.116873
12.575459,4.140743,12.649866,4.144231
12.629006,4.225251,12.670634,4.171287
12.629006,4.225251,12.692254,4.198012
12.629006,4.225251,12.714673,4.224335
12.681611,4.310349,12.73765,4.250251
12.681611,4.310349,12.760797,4.2758
12.681611,4.310349,12.783881,4.301103
12.733268,4.396028,12.806761,4.326329
12.733268,4.396028,12.829359,4.351648
12.733268,4.396028,12.851659,4.377187
12.783968,4.482274,12.873666,4.40305
12.783968,4.482274,12.89526,4.429449
12.783968,4.482274,12.916391,4.456508
12.833705,4.56908,12.937009,4.484356
12.833705,4.56908,12.957051,4.513086
12.833705,4.56908,12.976428,4.542653
12.882475,4.656433,12.995031,4.572826
12.882475,4.656433,13.012878,4.603427
12.93027,4.744323,13.030049,4.634325
12.93027,4.744323,13.046759,4.665391
12.93027,4.744323,13.062929,4.696636
12.977085,4.832739,13.078616,4.72803
12.977085,4.832739,13.093856,4.759553
12.977085,4.832739,13.108724,4.791144
13.022915,4.921669,13.123254,4.822736
13.022915,4.921669,13.137463,4.854377
13.022915,4.921669,13.151375,4.886091
13.067755,5.011104,13.165044,4.917728
13.067755,5.011104,13.178617,4.94905
13.067755,5.011104,13.19227,4.979989
13.111597,5.101031,13.206171,5.010557
13.111597,5.101031,13.220318,5.040938
13.111597,5.101031,13.23455,5.071452
13.154437,5.19144,13.248776,5.102164
13.154437,5.19144,13.26296,5.133011
13.154437,5.19144,13.277073,5.163964
13.19627,5.282319,13.291097,5.195007
13.19627,5.282319,13.305022,5.226129
13.19627,5.282319,13.31884,5.257323
13.237089,5.373658,13.332544,5.288587
13.237089,5.373658,13.346125,5.319916
13.237089,5.373658,13.359584,5.35131
13.27689,5.465445,13.372918,5.382766
13.27689,5.465445,13.386124,5.414282
13.27689,5.465445,13.399198,5.445859
13.315668,5.55767,13.412139,5.477494
13.315668,5.55767,13.424947,5.509186
13.315668,5.55767,13.437621,5.540935
13.353418,5.650319,13.45016,5.57274
13.353418,5.650319,13.46256,5.6046
13.353418,5.650319,13.474824,5.636514
13.390137,5.743382,13.48695,5.668482
13.390137,5.743382,13.498939,5.700502
13.390137,5.743382,13.510789,5.732575
13.425818,5.836848,13.5225,5.764698
13.425818,5.836848,13.534071,5.796873
13.425818,5.836848,13.545502,5.829097
13.460461,5.930705,13.556792,5.861371
13.460461,5.930705,13.567942,5.893694
13.460461,5.930705,13.578953,5.926065
