Time(s),Lateral Error(m),Heading Error(deg),Heading angular velocity(deg),speed(m/s),delta(deg),Acc(m/s^2,,,,,
20.701,0.182721,6.492592,7.031663,1.055285,0,13,,,,,
20.838,0.183312,6.417684,7.070784,1.055076,0,13,,,,,
20.95,0.187345,6.743191,7.083198,1.054946,0,13,,,,,
21.085,0.185696,6.66914,7.074691,1.055061,0,13,,,,,
21.185,0.18419,6.358062,7.097404,1.054894,0,13,,,,,
21.322,0.185528,6.282715,7.09265,1.054972,0,13,,,,,
21.469,0.184457,6.368134,7.089019,1.054858,0,13,,,,,
21.583,0.18996,6.68979,7.077089,1.054875,0,13,,,,,
21.713,0.188317,6.613455,7.06754,1.054883,0,13,,,,,
21.821,0.186052,6.297625,7.054758,1.054904,0,13,,,,,
21.956,0.187331,6.221723,6.999566,1.054813,0,13,,,,,
22.065,0.189435,6.54768,6.982245,1.054915,0,13,,,,,
22.205,0.188479,6.474212,6.969245,1.055028,0,13,,,,,
22.305,0.189271,6.163223,6.949867,1.055165,0,13,,,,,
22.44,0.1912,6.090509,6.946304,1.055301,0,13,,,,,
22.548,0.189963,6.418386,6.93935,1.055359,0,13,,,,,
22.684,0.191447,6.110562,6.944207,1.055327,0,13,,,,,
22.796,0.193538,6.03962,6.938441,1.055333,0,13,,,,,
22.909,0.191564,6.370591,6.963163,1.055311,0,13,,,,,
23.044,0.191506,6.298877,6.967933,1.055214,0,13,,,,,
23.147,0.196063,5.991047,7.007496,1.055184,0,13,,,,,
23.28,0.19881,5.920147,7.007226,1.054852,0,13,,,,,
23.385,0.193567,6.250797,7.02766,1.054685,0,13,,,,,
23.515,0.194176,6.18317,7.044396,1.054457,0,13,,,,,
23.623,0.200489,6.516998,7.0542,1.054346,0,13,,,,,
23.754,0.198982,6.448986,7.042786,1.054574,0,13,,,,,
23.861,0.196454,6.145002,7.035087,1.054566,0,13,,,,,
23.994,0.197752,6.076164,7.010257,1.054671,0,13,,,,,
24.099,0.200657,6.40936,6.951334,1.054797,0,13,,,,,
24.234,0.199818,6.342659,6.916243,1.055065,0,13,,,,,
24.337,0.200335,6.040786,6.878856,1.055359,0,13,,,,,
24.466,0.202238,5.975224,6.852787,1.055611,0,13,,,,,
24.575,0.201665,6.314327,6.833753,1.055741,0,13,,,,,
24.704,0.201443,6.249808,6.840565,1.055805,0,13,,,,,
24.813,0.204849,5.952295,6.821564,1.055625,0,13,,,,,
24.945,0.207279,5.890455,6.800655,1.055424,0,13,,,,,
25.051,0.203284,6.233996,6.857296,1.054876,0,13,,,,,
25.189,0.203643,6.17356,6.922787,1.054705,0,13,,,,,
25.297,0.209862,5.880838,6.975793,1.054337,0,13,,,,,
25.429,0.208844,6.458879,7.017975,1.054067,0,13,,,,,
25.537,0.204975,6.193616,6.561977,1.055461,0,13,,,,,
25.669,0.205094,6.175747,6.573212,1.056064,0,14,,,,,
25.773,0.207941,6.536423,6.81149,1.057224,0,14,,,,,
25.904,0.20684,6.463234,6.943982,1.057703,0,14,,,,,
26.012,0.207626,6.103275,7.475751,1.056311,0,14,,,,,
26.148,0.210198,5.989374,7.223463,1.055345,0,13,,,,,
26.248,0.210616,6.303729,6.80158,1.053634,0,12,,,,,
26.38,0.210053,6.257736,6.522484,1.053644,0,11,,,,,
26.488,0.211763,6.024716,6.29547,1.054226,0,12,,,,,
26.62,0.213011,6.01352,6.422677,1.054666,0,12,,,,,
