Time(s),Lateral Error(m),Heading Error(deg),Heading angular velocity(deg),speed(m/s),delta(deg),Acc(m/s^24.525000,0.003552,0.168582,0.118446,0.298935,10,9
19.24,0.048659,3.647416,10.746573,1.024606,-18,0,,,,,,
19.382,0.041466,3.223749,9.409291,0.998214,-18,0,,,,,,
19.49,0.006071,2.870734,4.731831,0.986924,-18,0,,,,,,
19.626,0.00516,3.206778,1.849834,0.992396,26,0,,,,,,
19.766,0.035177,4.034136,4.580732,1.018939,19,0,,,,,,
19.898,0.005066,3.802092,8.31342,1.044189,26,0,,,,,,
20.014,0.016063,3.451167,10.746898,1.034544,-18,0,,,,,,
20.124,0.054353,2.785784,8.059853,0.988956,-18,0,,,,,,
20.253,0.05768,2.813084,4.192692,0.988266,-18,0,,,,,,
20.362,0.030046,3.9605,-2.024544,1.018371,-18,0,,,,,,
20.497,0.020739,4.946288,-3.959416,0.921646,22,0,,,,,,
20.6,0.011325,6.014994,-1.666309,0.981053,25,0,,,,,,
20.733,0.020636,6.616742,2.213112,1.018514,25,0,,,,,,
20.838,0.053913,6.5033,7.410013,0.890459,-28,2,,,,,,
20.969,0.019579,6.682875,1.757959,0.189908,22,-4,,,,,,
21.076,0.028397,6.668944,7.752812,0.94218,22,-1,,,,,,
21.205,0.024259,6.37562,10.312314,1.03323,25,0,,,,,,
21.314,0.019179,5.487148,11.526524,1.02677,22,0,,,,,,
21.444,0.024888,4.941678,11.255637,1.01309,-18,0,,,,,,
21.552,0.047576,4.914742,7.308522,0.984599,-18,0,,,,,,
21.688,0.047521,5.011288,3.098663,0.991478,-18,0,,,,,,
21.79,0.011697,5.655335,-3.053833,1.020668,-18,0,,,,,,
21.927,0.008515,6.716955,-4.508505,1.006991,25,0,,,,,,
22.035,0.045251,7.864683,-2.136824,0.996848,23,0,,,,,,
22.167,0.058078,8.515744,1.900422,1.017012,28,0,,,,,,
22.275,0.065764,9.069988,8.32891,1.056494,25,0,,,,,,
22.41,0.062944,8.75092,10.280042,1.042915,22,1,,,,,,
22.51,0.055507,8.073779,9.23626,0.924615,22,0,,,,,,
22.65,0.059445,7.442841,9.884586,0.913119,22,0,,,,,,
22.763,0.051516,7.018534,11.299504,0.987437,22,0,,,,,,
22.894,0.049596,6.732107,11.665901,1.017288,22,0,,,,,,
22.998,0.041374,6.173391,11.731334,1.017072,10,0,,,,,,
23.13,0.011861,5.369916,8.775012,0.988658,22,0,,,,,,
23.238,0.006425,5.131252,8.889966,1.011227,22,0,,,,,,
23.354,0.040179,4.483574,9.354443,1.011591,18,0,,,,,,
23.49,0.043945,4.195005,8.345303,0.997622,10,0,,,,,,
23.606,0.029332,4.534067,5.174103,0.99055,-9,0,,,,,,
23.746,0.018696,4.795721,0.251022,1.00144,-9,0,,,,,,
23.853,0.014393,5.531542,-1.980277,1.003873,-9,0,,,,,,
23.989,0.052179,6.553977,-3.283711,1.002844,23,0,,,,,,
24.129,0.045842,8.178625,-0.941291,1.00132,23,0,,,,,,
24.238,0.061417,8.593665,4.534872,1.034321,23,0,,,,,,
24.369,0.067619,8.572042,7.981608,1.041982,23,0,,,,,,
24.476,0.072079,8.570309,10.603906,1.04024,25,0,,,,,,
24.609,0.065618,8.081289,11.137848,1.027817,18,0,,,,,,
24.714,0.050635,7.257497,10.563253,1.0025,18,0,,,,,,
24.849,0.045489,6.858168,9.970875,1.004366,18,0,,,,,,
24.95,0.056975,6.167016,9.589169,1.007286,18,0,,,,,,
25.08,0.055036,5.827246,9.46123,1.008793,18,0,,,,,,
25.19,0.030415,5.81233,9.371911,1.009939,18,0,,,,,,
25.324,0.023927,5.496493,8.868574,1.003406,8,0,,,,,,
25.428,0.02159,5.127366,5.690961,0.990252,-9,0,,,,,,
25.56,0.023509,5.351191,2.065378,0.996257,-9,0,,,,,,
25.666,0.054339,6.626034,-1.674314,1.004087,25,0,,,,,,
25.796,0.063408,7.464164,-1.66998,0.998491,25,0,,,,,,
25.904,0.063266,8.122347,1.805093,1.013667,23,0,,,,,,
26.036,0.070395,8.341849,6.13912,1.040953,23,0,,,,,,
26.142,0.078429,7.890291,9.330147,1.037383,23,0,,,,,,
26.276,0.077798,7.51714,10.410651,1.031495,18,0,,,,,,
26.38,0.06824,7.45372,9.397395,1.009711,18,0,,,,,,
26.519,0.064217,7.153609,9.110843,1.009267,18,0,,,,,,
26.627,0.056072,6.558028,9.43378,1.008694,18,0,,,,,,
26.76,0.051494,6.222295,9.559797,1.008597,18,0,,,,,,
26.863,0.064337,6.210248,9.409691,1.009205,18,0,,,,,,
26.999,0.058614,5.887002,9.362399,1.009681,-9,0,,,,,,
27.103,0.029725,5.341761,7.13601,0.991639,-9,0,,,,,,
27.237,0.029232,5.423618,3.428267,0.992317,-9,0,,,,,,
27.339,0.044913,5.926283,-1.080854,1.002925,-9,0,,,,,,
27.471,0.05838,6.758065,-2.538049,1.003322,25,0,,,,,,
27.578,0.086244,8.271532,-0.332397,1.001899,23,0,,,,,,
27.714,0.096524,8.758295,3.467866,1.023692,23,0,,,,,,
27.818,0.093541,8.546889,8.465691,1.040155,23,0,,,,,,
27.958,0.09896,7.906771,10.029057,1.021129,21,0,,,,,,
28.062,0.096754,7.510232,10.452701,1.015993,21,0,,,,,,
28.197,0.08527,7.388183,10.339479,1.01534,21,0,,,,,,
28.301,0.079884,7.013504,10.156552,1.015967,21,0,,,,,,
28.438,0.070647,6.262481,10.756194,1.013184,-9,0,,,,,,
28.546,0.064427,5.884971,9.004055,0.989954,-9,0,,,,,,
28.658,0.079108,5.668767,3.716079,0.989502,-9,0,,,,,,
28.797,0.085047,6.747842,1.040666,0.994107,25,0,,,,,,
28.905,0.082358,7.155198,3.12506,1.010388,23,0,,,,,,
29.037,0.086044,7.287863,6.826249,1.038899,23,0,,,,,,
29.141,0.086706,6.757528,9.30723,0.982576,22,2,,,,,,
29.273,0.078566,6.476396,8.832985,0.831751,22,0,,,,,,
29.385,0.072628,5.890224,9.051041,0.813441,22,0,,,,,,
29.517,0.061088,5.562522,9.784192,0.943389,-9,0,,,,,,
29.617,0.068365,5.071482,6.099571,0.984745,-9,0,,,,,,
29.753,0.070363,5.294299,1.901227,0.99722,-9,0,,,,,,
29.857,0.073192,6.587422,-1.332132,1.000993,23,0,,,,,,
29.997,0.087095,7.359671,-0.685908,0.999026,28,0,,,,,,
30.145,0.111383,7.614233,5.621382,1.040124,28,0,,,,,,
30.256,0.10045,7.719888,10.558299,1.046548,22,0,,,,,,
30.384,0.096546,7.362798,9.253728,0.834742,22,0,,,,,,
30.494,0.086535,6.733727,9.435053,0.809223,22,0,,,,,,
30.628,0.086097,6.474308,7.02818,0.56545,25,0,,,,,,
30.732,0.079207,5.595022,8.98736,0.765821,2,-2,,,,,,
30.86,0.068795,5.287701,8.492116,0.967629,22,0,,,,,,
30.97,0.073391,4.984093,6.667669,0.819906,22,0,,,,,,
31.1,0.0595,4.870502,7.90898,0.821074,22,0,,,,,,
31.208,0.063289,4.333604,8.659287,0.974378,2,0,,,,,,
31.348,0.059652,4.213108,6.234234,0.988906,21,0,,,,,,
31.456,0.037564,4.612322,7.5238,1.020259,21,0,,,,,,
31.587,0.029734,4.395003,9.083802,1.025121,21,0,,,,,,
31.695,0.027381,3.722538,10.093868,1.019633,21,0,,,,,,
31.835,0.039812,3.681553,8.454995,0.993677,2,0,,,,,,
31.939,0.039869,3.621371,5.432718,0.986615,3,0,,,,,,
